EmpID,Salary,Perf_Score_ID,Performance_Score,Engagement_Survey,Emp_Satisfaction,Special_Projects_Count,Absences
10212,85028,3,Fully Meets,3.1,5,8,19
10056,57583,3,Fully Meets,5,3,0,1
10143,56294,3,Fully Meets,3.96,4,0,6
10311,56991,1,Fully Meets,4.3,4,3,2
10070,55722,3,Fully Meets,5,4,0,14
10155,101199,3,Fully Meets,3.79,5,5,8
10306,61568,1,PIP,1.93,3,0,5
10100,58275,3,Fully Meets,4.62,5,0,1
10310,53189,1,PIP,1.12,2,0,9
10197,96820,3,Fully Meets,3.01,5,7,15
10276,51259,3,Fully Meets,4.3,4,0,1
10304,59231,1,PIP,2.3,1,0,17
10284,61584,2,Needs Improvement,3.88,4,0,6
10207,46335,3,Fully Meets,3.4,5,0,15
10133,70621,3,Fully Meets,4.11,4,6,16
10028,138888,4,Exceeds,4.3,5,5,4
10006,74241,4,Exceeds,4.77,5,0,14
10105,75188,3,Fully Meets,4.52,4,0,4
10211,62514,3,Fully Meets,2.9,3,0,6
10064,60070,3,Fully Meets,5,3,0,7
10247,48888,3,Fully Meets,4.7,5,0,8
10235,54285,3,Fully Meets,4.2,3,0,3
10299,56847,1,PIP,3,1,0,5
10280,60340,2,Needs Improvement,5,4,0,16
10296,59124,2,Needs Improvement,2.3,3,0,19
10290,99280,2,Needs Improvement,2.1,5,4,19
10263,71776,3,Fully Meets,4.4,5,0,17
10136,65902,3,Fully Meets,4,4,0,7
10189,57748,3,Fully Meets,3.13,3,0,16
10308,64057,1,PIP,1.56,5,0,15
10309,53366,1,PIP,1.2,3,6,2
10049,58530,3,Fully Meets,5,5,0,19
10093,72609,3,Fully Meets,4.76,5,0,20
10163,55965,3,Fully Meets,3.66,3,0,6
10305,70187,3,PIP,2,5,0,7
10015,178000,4,Exceeds,5,5,5,15
10080,99351,3,Fully Meets,5,3,2,3
10258,67251,3,Fully Meets,4.3,3,0,7
10273,65707,3,Fully Meets,4.7,4,5,1
10111,52249,3,Fully Meets,4.5,3,0,5
10257,53171,3,Fully Meets,4.2,4,0,12
10159,51337,3,Fully Meets,3.73,3,0,19
10122,51505,3,Fully Meets,4.24,4,0,2
10142,59370,3,Fully Meets,3.97,4,0,7
10283,54933,2,Needs Improvement,3.97,4,0,15
10018,57815,4,Exceeds,3.9,4,0,3
10255,61555,3,Fully Meets,4.5,5,0,20
10246,114800,3,Fully Meets,4.6,4,4,10
10228,74679,3,Fully Meets,4.3,5,7,20
10243,53018,3,Fully Meets,4.3,5,0,7
10031,59892,4,Exceeds,4.5,4,0,1
10300,68898,1,PIP,3,3,0,10
10101,61242,3,Fully Meets,4.61,4,5,11
10237,66825,3,Fully Meets,4.6,3,0,20
10051,48285,3,Fully Meets,5,3,0,2
10218,66149,3,Fully Meets,4.4,5,0,1
10256,49256,3,Fully Meets,4.1,5,0,3
10098,62957,3,Fully Meets,4.63,3,0,2
10059,63813,3,Fully Meets,5,5,0,17
10234,99020,3,Fully Meets,4.2,5,5,8
10109,71707,3,Fully Meets,4.5,5,0,20
10125,54828,3,Fully Meets,4.2,4,0,13
10074,64246,3,Fully Meets,5,3,0,20
10097,52177,3,Fully Meets,4.64,4,0,8
10007,62065,4,Exceeds,4.76,4,0,5
10129,46998,3,Fully Meets,4.17,4,0,1
10075,68099,3,Fully Meets,5,3,0,15
10167,70545,3,Fully Meets,3.6,5,0,9
10195,63478,3,Fully Meets,3.03,5,0,16
10112,97999,3,Fully Meets,4.48,5,6,4
10272,180000,3,Fully Meets,4.5,4,0,19
10182,49920,3,Fully Meets,3.24,3,4,6
10248,55425,3,Fully Meets,4.8,4,0,4
10201,69340,3,Fully Meets,3,5,0,4
10214,64995,3,Fully Meets,4.5,3,0,6
10160,68182,3,Fully Meets,3.72,3,0,18
10289,83082,2,Needs Improvement,2.34,2,0,4
10139,51908,3,Fully Meets,3.99,3,0,14
10227,61242,3,Fully Meets,4.1,3,0,7
10236,45069,3,Fully Meets,4.3,5,0,7
10009,60724,4,Exceeds,4.6,4,0,11
10060,60436,3,Fully Meets,5,5,0,9
10034,46837,4,Exceeds,4.7,4,0,9
10156,105700,3,Fully Meets,3.75,3,5,2
10036,63322,4,Exceeds,4.3,3,0,1
10138,61154,3,Fully Meets,4,4,0,4
10244,68999,3,Fully Meets,4.5,5,0,2
10192,50482,3,Fully Meets,3.07,4,0,10
10231,65310,3,Fully Meets,4.3,5,0,13
10089,250000,3,Fully Meets,4.83,3,0,10
10166,54005,3,Fully Meets,3.6,5,0,16
10170,45433,3,Fully Meets,3.49,4,0,6
10208,46654,3,Fully Meets,3.1,3,0,3
10176,63973,3,Fully Meets,3.38,3,0,17
10165,71339,3,Fully Meets,3.65,5,0,20
10113,93206,3,Fully Meets,4.46,5,6,7
10092,82758,3,Fully Meets,4.78,4,0,9
10106,66074,3,Fully Meets,4.52,3,0,20
10052,46120,3,Fully Meets,5,5,0,13
10038,64520,3,Fully Meets,5,4,4,3
10249,61962,3,Fully Meets,4.9,3,0,20
10232,81584,3,Fully Meets,4.1,5,7,2
10087,63676,3,Fully Meets,4.88,3,0,17
10134,93046,3,Fully Meets,4.1,4,0,20
10251,64738,3,Fully Meets,4.1,3,0,10
10103,70468,3,Fully Meets,4.53,3,0,16
10017,77915,4,Exceeds,4.1,3,0,11
10186,52624,3,Fully Meets,3.18,4,0,16
10137,63450,3,Fully Meets,4,3,0,7
10008,51777,4,Exceeds,4.64,4,5,14
10096,67237,3,Fully Meets,4.65,4,0,15
10035,73330,4,Exceeds,4.2,4,0,19
10057,52057,3,Fully Meets,5,3,0,6
10004,47434,4,Exceeds,5,4,0,17
10191,52788,3,Fully Meets,3.08,4,0,18
10219,45395,3,Fully Meets,4.6,4,0,14
10077,62385,3,Fully Meets,5,3,0,4
10073,68407,3,Fully Meets,5,4,0,16
10279,61349,3,Fully Meets,4.1,3,0,11
10110,105688,3,Fully Meets,4.5,5,4,14
10053,54132,3,Fully Meets,5,4,0,8
10076,55315,3,Fully Meets,5,5,0,16
10145,62810,3,Fully Meets,3.93,3,0,20
10202,63291,3,Fully Meets,3.4,4,0,7
10128,62659,3,Fully Meets,4.18,4,0,17
10068,55688,3,Fully Meets,5,4,0,10
10116,83667,3,Fully Meets,4.37,3,0,2
10298,55800,1,PIP,3,2,0,6
10213,58207,3,Fully Meets,3.7,3,0,14
10288,157000,2,Needs Improvement,2.39,3,6,13
10025,72460,4,Exceeds,4.7,3,0,1
10223,72106,3,Fully Meets,4.1,4,0,12
10151,52599,3,Fully Meets,3.81,3,6,6
10254,63430,3,Fully Meets,4.4,4,0,18
10120,74417,3,Fully Meets,4.29,5,0,11
10216,57575,3,Fully Meets,4.1,4,0,13
10079,87921,3,Fully Meets,5,3,6,17
10215,50470,3,Fully Meets,4.3,3,0,19
10185,46664,3,Fully Meets,3.18,3,0,10
10063,48495,3,Fully Meets,5,5,0,11
10037,52984,4,Exceeds,4,3,0,12
10042,63695,3,Fully Meets,5,5,0,2
10206,62061,3,Fully Meets,3.6,5,0,4
10104,66738,3,Fully Meets,4.53,5,0,5
10303,52674,1,PIP,2.33,2,0,3
10078,71966,3,Fully Meets,5,3,0,17
10121,63051,3,Fully Meets,4.28,3,0,1
10021,47414,4,Exceeds,5,3,0,13
10281,53060,2,Needs Improvement,4.25,3,0,6
10041,68829,3,Fully Meets,5,5,0,18
10148,63515,3,Fully Meets,3.89,4,0,7
10005,108987,4,Exceeds,5,5,3,13
10259,93093,3,Fully Meets,4.7,4,5,19
10286,53564,2,Needs Improvement,3.54,5,0,15
10297,60270,2,Needs Improvement,2.4,5,0,2
10171,45998,3,Fully Meets,3.45,4,0,5
10032,57954,4,Exceeds,4.2,5,0,12
10130,74669,3,Fully Meets,4.16,5,0,6
10217,74226,3,Fully Meets,4.3,3,0,14
10016,93554,4,Exceeds,4.6,5,7,16
10050,64724,3,Fully Meets,5,3,0,13
10164,47001,3,Fully Meets,3.66,3,0,15
10124,61844,3,Fully Meets,4.2,5,0,9
10187,46799,3,Fully Meets,3.17,4,0,14
10225,59472,3,Fully Meets,4.8,3,0,14
10262,46430,3,Fully Meets,4.5,5,0,16
10131,83363,3,Fully Meets,4.15,4,0,4
10239,95920,3,Fully Meets,4.4,4,6,10
10152,61729,3,Fully Meets,3.8,5,0,19
10140,61809,3,Fully Meets,3.98,3,0,4
10058,45115,3,Fully Meets,5,4,0,11
10011,46738,4,Exceeds,4.36,5,0,16
10230,64971,3,Fully Meets,4.5,4,0,10
10224,55578,3,Fully Meets,4.2,5,0,13
10047,50428,3,Fully Meets,5,3,0,11
10285,61422,2,Needs Improvement,3.6,3,0,16
10020,63353,4,Exceeds,3.6,5,0,4
10162,89883,3,Fully Meets,3.69,5,6,15
10149,120000,3,Fully Meets,3.88,3,7,12
10086,150290,3,Fully Meets,4.94,3,5,17
10054,60627,3,Fully Meets,5,4,0,8
10065,53180,3,Fully Meets,5,5,0,4
10198,140920,3,Fully Meets,3.6,5,7,13
10222,148999,3,Fully Meets,4.3,4,6,8
10126,86214,3,Fully Meets,4.2,3,6,2
10295,47750,2,Needs Improvement,2.6,4,0,4
10260,46428,3,Fully Meets,4.6,5,0,7
10233,57975,3,Fully Meets,4.1,3,0,13
10229,88527,3,Fully Meets,4.2,3,5,2
10169,56147,3,Fully Meets,3.51,3,0,2
10071,50923,3,Fully Meets,5,5,0,14
10179,50750,3,Fully Meets,3.31,3,6,7
10091,52087,3,Fully Meets,4.81,4,0,15
10178,87826,3,Fully Meets,3.32,3,7,16
10039,51920,3,Fully Meets,5,3,5,2
10095,63878,3,Fully Meets,4.68,4,0,20
10027,60656,4,Exceeds,4.3,3,0,4
10291,72992,2,Needs Improvement,2.4,4,0,16
10153,55000,3,Fully Meets,3.8,4,4,17
10157,58939,3,Fully Meets,3.73,3,0,16
10119,66593,3,Fully Meets,4.3,3,5,19
10180,87565,3,Fully Meets,3.27,4,5,13
10302,64021,1,PIP,2.4,2,1,20
10090,65714,3,Fully Meets,4.83,5,0,15
10030,62425,4,Exceeds,4.1,4,0,16
10278,47961,3,Fully Meets,4.1,4,0,9
10307,58273,1,PIP,1.81,2,0,5
10147,63003,3,Fully Meets,3.9,5,5,9
10266,61355,3,Fully Meets,4.7,3,0,4
10241,60120,3,Fully Meets,4.1,4,0,18
10158,63682,3,Fully Meets,3.73,4,0,12
10117,63025,3,Fully Meets,4.36,5,0,10
10209,59238,3,Fully Meets,3.4,5,0,13
10024,92989,4,Exceeds,4.5,5,5,1
10173,90100,3,Fully Meets,3.4,3,6,14
10221,60754,3,Fully Meets,4.5,5,0,11
10146,72202,3,Fully Meets,3.93,3,0,3
10161,58370,3,Fully Meets,3.69,3,0,18
10141,48413,3,Fully Meets,3.98,4,0,1
10268,67176,3,Fully Meets,4.1,4,0,15
10123,56339,3,Fully Meets,4.21,5,0,4
10013,64397,4,Exceeds,4.1,3,0,6
10287,63025,2,Needs Improvement,2.44,5,0,18
10044,75281,3,Fully Meets,5,3,5,11
10102,100416,3,Fully Meets,4.6,3,4,9
10270,74813,3,Fully Meets,4.4,3,0,5
10045,76029,3,Fully Meets,5,4,7,8
10205,57859,3,Fully Meets,2.81,3,0,16
10014,58523,4,Exceeds,4.5,5,0,15
10144,88976,3,Fully Meets,3.93,3,0,19
10253,55875,3,Fully Meets,4.5,4,0,11
10118,113999,3,Fully Meets,4.33,3,7,9
10022,49773,4,Exceeds,4.3,5,0,18
10183,62068,3,Fully Meets,3.21,3,0,7
10190,66541,3,Fully Meets,3.11,5,0,4
10274,80512,3,Fully Meets,4.5,3,0,5
10293,50274,2,Needs Improvement,2.5,3,0,13
10172,84903,3,Fully Meets,3.42,4,7,17
10127,107226,3,Fully Meets,4.2,4,8,7
10072,58371,3,Fully Meets,5,5,0,11
10048,55140,3,Fully Meets,5,3,0,7
10204,58062,3,Fully Meets,3.6,5,0,9
10264,59728,3,Fully Meets,4.3,4,0,16
10033,70507,4,Exceeds,5,3,0,7
10174,60446,3,Fully Meets,3.4,4,0,14
10135,65893,3,Fully Meets,4.07,4,0,13
10301,48513,1,PIP,3.2,2,0,4
10010,220450,4,Exceeds,4.6,5,6,16
10043,89292,3,Fully Meets,5,3,5,11
10271,45046,3,Fully Meets,4.5,5,0,2
