EmpID,Emp_Status_ID,Date_of_Hire,Date_of_Termination,Term_Reason,Days_Late_Last_30,From_Diversity_JobFairID
10019,1,01-05-2009,,N/A-StillEmployed,0,0
10094,1,01-05-2015,,N/A-StillEmployed,0,0
10193,1,3/30/2015,,N/A-StillEmployed,0,0
10132,2,07-06-2016,,N/A-StillEmployed,0,0
10083,1,11-10-2014,,N/A-StillEmployed,0,0
10099,1,05-05-2014,,N/A-StillEmployed,0,0
10212,3,11-10-2014,,N/A-StillEmployed,0,0
10056,1,07-02-2012,,N/A-StillEmployed,0,0
10143,1,11-07-2011,,N/A-StillEmployed,0,0
10311,1,07-09-2018,,N/A-StillEmployed,2,0
10070,5,5/16/2011,06-08-2016,unhappy,0,0
10155,1,01-09-2012,,N/A-StillEmployed,0,0
10306,1,9/29/2014,,N/A-StillEmployed,6,0
10100,5,04-04-2011,11-04-2015,more money,0,0
10310,1,07-07-2014,,N/A-StillEmployed,4,0
10197,1,2/15/2017,,N/A-StillEmployed,0,0
10276,1,05-12-2014,,N/A-StillEmployed,0,0
10304,1,2/20/2012,,N/A-StillEmployed,2,0
10284,1,01-07-2013,,N/A-StillEmployed,0,0
10207,1,04-02-2012,,N/A-StillEmployed,0,0
10133,1,01-05-2015,,N/A-StillEmployed,0,0
10028,1,01-05-2014,,N/A-StillEmployed,0,0
10006,1,01-10-2011,,N/A-StillEmployed,0,0
10105,1,9/18/2014,,N/A-StillEmployed,0,0
10211,1,4/26/2010,,N/A-StillEmployed,0,0
10064,5,04-04-2011,06-06-2017,military,0,0
10247,1,11-10-2014,,N/A-StillEmployed,0,0
10235,1,3/31/2014,,N/A-StillEmployed,0,0
10299,1,07-07-2014,,N/A-StillEmployed,2,0
10280,4,04-02-2012,9/27/2018,attendance,5,0
10296,4,2/17/2014,2/25/2018,"no-call, no-show",5,0
10290,4,05-02-2011,06-05-2013,attendance,4,0
10263,1,07-07-2014,,N/A-StillEmployed,0,0
10136,1,2/17/2014,,N/A-StillEmployed,0,0
10189,5,11-07-2011,5/17/2016,military,0,0
10308,1,05-11-2015,,N/A-StillEmployed,6,0
10309,1,3/30/2015,,N/A-StillEmployed,3,0
10049,1,01-09-2012,,N/A-StillEmployed,0,0
10093,5,5/16/2011,6/24/2013,hours,0,0
10163,5,04-04-2011,01-09-2013,career change,0,0
10305,1,9/29/2014,8/19/2018,Fatal attraction,4,0
10015,1,4/15/2011,,N/A-StillEmployed,0,0
10080,1,01-05-2009,,N/A-StillEmployed,0,0
10258,1,09-06-2011,,N/A-StillEmployed,2,0
10273,1,05-01-2010,,N/A-StillEmployed,0,0
10111,1,3/30/2015,,N/A-StillEmployed,0,0
10257,1,5/16/2011,,N/A-StillEmployed,0,0
10159,1,3/30/2015,,N/A-StillEmployed,0,0
10122,5,11-07-2011,11/15/2016,hours,0,1
10142,4,07-07-2014,09-05-2015,attendance,0,0
10283,5,04-02-2012,6/25/2015,military,3,1
10018,1,9/29/2014,,N/A-StillEmployed,0,0
10255,1,2/16/2015,,N/A-StillEmployed,0,0
10246,4,2/16/2015,3/15/2015,"no-call, no-show",0,0
10228,1,3/30/2015,,N/A-StillEmployed,0,0
10243,1,11-11-2013,,N/A-StillEmployed,0,0
10031,1,07-11-2011,,N/A-StillEmployed,0,1
10300,5,4/26/2010,5/30/2011,career change,3,1
10101,1,01-05-2015,,N/A-StillEmployed,0,0
10237,3,05-12-2014,,N/A-StillEmployed,0,0
10051,1,07-02-2012,,N/A-StillEmployed,0,0
10218,3,9/30/2013,,N/A-StillEmployed,0,0
10256,3,8/19/2013,,N/A-StillEmployed,0,0
10098,1,06-02-2015,,N/A-StillEmployed,0,0
10059,5,2/21/2011,01-11-2014,more money,0,0
10234,1,4/20/2017,,N/A-StillEmployed,0,0
10109,5,03-07-2012,10/31/2014,relocation out of area,0,0
10125,1,11/28/2011,,N/A-StillEmployed,0,0
10074,1,11-11-2013,,N/A-StillEmployed,0,0
10097,5,01-09-2012,12/15/2015,retiring,0,0
10007,1,05-12-2014,,N/A-StillEmployed,0,0
10129,1,8/13/2012,,N/A-StillEmployed,0,0
10075,5,01-10-2011,6/18/2013,hours,0,0
10167,1,8/18/2014,,N/A-StillEmployed,0,0
10195,5,8/15/2011,04-07-2012,relocation out of area,0,0
10112,1,3/30/2015,,N/A-StillEmployed,0,0
10272,1,05-05-2014,,N/A-StillEmployed,0,0
10182,1,2/16/2015,4/15/2015,"no-call, no-show",0,0
10248,1,2/20/2012,,N/A-StillEmployed,0,0
10201,2,06-06-2016,,N/A-StillEmployed,0,0
10214,2,06-05-2015,,N/A-StillEmployed,0,0
10160,5,2/21/2011,04-01-2013,unhappy,0,0
10289,5,2/21/2011,9/24/2012,unhappy,3,0
10139,1,8/19/2013,,N/A-StillEmployed,0,0
10227,1,11-05-2012,,N/A-StillEmployed,0,0
10236,1,9/30/2013,,N/A-StillEmployed,0,0
10009,1,07-05-2011,,N/A-StillEmployed,0,0
10060,1,01-06-2014,,N/A-StillEmployed,0,0
10034,5,11-07-2011,4/29/2018,more money,0,0
10156,3,01-05-2015,,N/A-StillEmployed,0,0
10036,1,07-07-2014,,N/A-StillEmployed,0,0
10138,5,01-10-2011,04-01-2016,unhappy,0,0
10244,5,11-07-2011,4/24/2014,maternity leave - did not return,0,0
10192,1,9/30/2013,,N/A-StillEmployed,0,0
10231,1,8/19/2013,,N/A-StillEmployed,0,0
10089,1,07-02-2012,,N/A-StillEmployed,0,0
10166,5,9/26/2011,06-04-2015,more money,0,0
10170,5,9/26/2011,01-09-2014,more money,0,0
10208,1,2/17/2014,,N/A-StillEmployed,0,0
10176,1,01-10-2011,,N/A-StillEmployed,0,0
10165,1,03-07-2011,,N/A-StillEmployed,0,1
10113,3,11-10-2014,,N/A-StillEmployed,0,0
10092,4,01-10-2011,12-12-2015,attendance,0,0
10106,5,01-07-2013,3/31/2014,Another position,0,0
10052,1,07-09-2012,,N/A-StillEmployed,0,0
10038,1,01-06-2014,,N/A-StillEmployed,0,0
10249,5,04-02-2012,4/15/2013,more money,0,0
10232,1,10-02-2016,,N/A-StillEmployed,0,0
10087,5,9/26/2011,8/19/2018,return to school,0,0
10134,1,01-05-2016,,N/A-StillEmployed,0,0
10251,1,5/14/2012,,N/A-StillEmployed,0,0
10103,1,4/30/2012,,N/A-StillEmployed,0,0
10017,1,9/30/2013,,N/A-StillEmployed,0,0
10186,5,07-05-2011,9/26/2018,unhappy,0,0
10137,3,07-08-2013,,N/A-StillEmployed,0,0
10008,1,1/21/2011,,N/A-StillEmployed,0,1
10096,5,07-08-2013,9/15/2016,more money,0,0
10035,1,8/19/2013,,N/A-StillEmployed,0,0
10057,3,2/16/2015,,N/A-StillEmployed,0,0
10004,5,11-07-2011,11/14/2015,Another position,0,1
10191,5,9/24/2012,9/26/2017,hours,0,0
10219,1,01-06-2014,,N/A-StillEmployed,0,0
10077,2,05-11-2016,,N/A-StillEmployed,0,0
10073,5,07-05-2011,8/19/2012,Another position,0,0
10279,1,11-11-2013,,N/A-StillEmployed,0,0
10110,1,11-11-2013,,N/A-StillEmployed,0,0
10053,1,5/31/2011,,N/A-StillEmployed,0,0
10076,1,3/30/2015,,N/A-StillEmployed,0,0
10145,1,01-07-2013,,N/A-StillEmployed,0,0
10202,2,07-06-2016,,N/A-StillEmployed,0,0
10128,5,04-02-2012,11-11-2016,Another position,0,1
10068,1,3/30/2015,,N/A-StillEmployed,0,0
10116,1,8/16/2012,,N/A-StillEmployed,0,0
10298,5,8/15/2011,09-04-2014,unhappy,6,0
10213,1,11-07-2011,,N/A-StillEmployed,0,0
10288,1,2/15/2012,,N/A-StillEmployed,4,1
10025,1,5/13/2013,,N/A-StillEmployed,0,0
10223,3,01-09-2012,,N/A-StillEmployed,0,1
10151,1,2/16/2015,,N/A-StillEmployed,0,0
10254,1,04-01-2013,,N/A-StillEmployed,0,0
10120,1,5/13/2013,,N/A-StillEmployed,0,0
10216,1,07-08-2013,,N/A-StillEmployed,0,0
10079,1,02-10-2017,,N/A-StillEmployed,0,0
10215,5,9/26/2011,04-04-2014,return to school,0,1
10185,5,04-01-2013,5/25/2016,more money,0,0
10063,3,05-12-2014,,N/A-StillEmployed,0,0
10037,1,04-01-2013,,N/A-StillEmployed,0,1
10042,1,07-08-2013,,N/A-StillEmployed,0,0
10206,1,07-08-2013,,N/A-StillEmployed,0,0
10104,1,11-10-2014,,N/A-StillEmployed,0,0
10303,4,3/31/2014,05-01-2018,performance,6,0
10078,5,5/14/2012,8/19/2013,unhappy,0,0
10121,1,9/30/2013,,N/A-StillEmployed,0,0
10021,1,9/30/2013,,N/A-StillEmployed,0,0
10281,1,2/17/2014,,N/A-StillEmployed,4,0
10041,1,01-05-2015,,N/A-StillEmployed,0,0
10148,5,02-07-2011,01-12-2014,Another position,0,0
10005,5,11-07-2011,09-07-2015,Another position,0,1
10259,5,12-01-2014,05-01-2016,performance,0,0
10286,5,01-10-2011,12/28/2017,career change,4,0
10297,5,07-05-2011,9/15/2015,unhappy,5,0
10171,5,5/16/2011,10/25/2015,medical issues,0,0
10032,5,5/16/2011,02-04-2013,more money,0,0
10130,5,10/25/2010,5/18/2016,Another position,0,0
10217,1,04-02-2012,,N/A-StillEmployed,0,0
10016,1,11-10-2014,,N/A-StillEmployed,0,0
10050,5,07-05-2011,11/30/2012,more money,0,0
10164,1,11-05-2007,,N/A-StillEmployed,0,0
10124,1,01-09-2012,,N/A-StillEmployed,0,0
10187,5,5/16/2011,06-04-2018,Another position,0,0
10225,1,01-06-2014,,N/A-StillEmployed,0,0
10262,5,9/24/2012,6/18/2013,unhappy,0,0
10131,5,2/21/2011,8/15/2015,career change,0,1
10239,1,10-02-2016,,N/A-StillEmployed,0,0
10152,5,9/26/2011,04-07-2018,more money,0,0
10140,1,05-12-2014,,N/A-StillEmployed,0,0
10058,5,5/16/2011,1/15/2016,retiring,0,0
10011,1,11/28/2011,,N/A-StillEmployed,0,0
10230,5,9/26/2011,10/22/2011,return to school,0,0
10224,5,07-05-2011,02-08-2012,Another position,0,0
10047,5,01-10-2011,1/26/2016,attendance,0,0
10285,4,01-10-2011,5/17/2016,attendance,4,0
10020,1,07-08-2013,,N/A-StillEmployed,0,0
10162,1,2/16/2015,,N/A-StillEmployed,0,0
10149,5,01-05-2015,11-10-2018,Another position,0,0
10086,1,01-07-2017,,N/A-StillEmployed,0,0
10054,1,01-06-2014,,N/A-StillEmployed,0,0
10065,5,04-04-2011,8/13/2018,Another position,0,0
10198,1,1/20/2013,,N/A-StillEmployed,0,0
10222,5,01-09-2012,11-04-2015,hours,0,1
10126,1,11-05-2012,,N/A-StillEmployed,0,0
10295,2,07-04-2016,,N/A-StillEmployed,5,1
10260,5,01-05-2009,7/30/2018,relocation out of area,0,0
10233,1,8/30/2010,,N/A-StillEmployed,0,0
10229,5,01-05-2015,10/31/2015,hours,0,0
10169,1,9/29/2014,,N/A-StillEmployed,0,0
10071,3,9/30/2013,,N/A-StillEmployed,0,0
10179,1,9/30/2014,,N/A-StillEmployed,0,0
10091,1,8/19/2013,,N/A-StillEmployed,0,0
10178,1,01-05-2015,,N/A-StillEmployed,0,0
10039,1,05-01-2015,,N/A-StillEmployed,0,0
10095,5,10/26/2009,04-08-2015,maternity leave - did not return,0,0
10027,1,9/29/2014,,N/A-StillEmployed,0,0
10291,1,5/18/2014,,N/A-StillEmployed,2,1
10153,5,9/26/2011,9/25/2013,career change,0,1
10157,1,11-11-2013,,N/A-StillEmployed,0,0
10119,1,06-10-2011,,N/A-StillEmployed,0,0
10180,2,6/30/2016,,N/A-StillEmployed,0,0
10302,1,2/20/2012,,N/A-StillEmployed,6,0
10090,1,10-02-2012,,N/A-StillEmployed,0,0
10030,5,5/13/2013,6/29/2015,unhappy,0,0
10278,1,01-10-2011,,N/A-StillEmployed,0,0
10307,1,05-12-2014,,N/A-StillEmployed,3,0
10147,1,9/29/2014,,N/A-StillEmployed,0,0
10266,1,2/17/2014,,N/A-StillEmployed,0,0
10241,1,9/27/2010,,N/A-StillEmployed,0,0
10158,1,01-08-2009,,N/A-StillEmployed,0,0
10117,1,01-05-2015,,N/A-StillEmployed,0,0
10209,1,5/14/2012,,N/A-StillEmployed,0,0
10024,1,07-07-2014,,N/A-StillEmployed,0,0
10173,1,4/20/2017,,N/A-StillEmployed,0,0
10221,5,4/27/2009,04-01-2013,Another position,0,1
10146,5,5/16/2011,07-08-2017,Another position,0,0
10161,1,9/29/2014,,N/A-StillEmployed,0,0
10141,5,07-05-2011,09-05-2016,return to school,0,0
10268,5,6/25/2007,8/30/2010,military,0,0
10123,1,2/18/2013,,N/A-StillEmployed,0,0
10013,1,01-09-2006,,N/A-StillEmployed,0,0
10287,1,2/17/2014,,N/A-StillEmployed,4,0
10044,5,01-05-2015,02-12-2016,medical issues,0,0
10102,5,2/18/2013,4/15/2018,medical issues,0,1
10270,5,01-10-2011,07-02-2014,unhappy,0,0
10045,1,3/30/2015,,N/A-StillEmployed,0,0
10205,1,07-05-2011,,N/A-StillEmployed,0,0
10014,5,8/13/2012,02-05-2016,maternity leave - did not return,0,0
10144,1,08-01-2011,,N/A-StillEmployed,0,0
10253,1,03-05-2012,,N/A-StillEmployed,0,0
10118,4,2/16/2015,2/22/2017,"no-call, no-show",0,0
10022,4,9/26/2011,02-08-2016,gross misconduct,0,0
10183,2,07-05-2015,,N/A-StillEmployed,0,0
10190,1,8/18/2014,,N/A-StillEmployed,0,0
10274,5,9/26/2011,01-02-2012,Another position,0,1
10293,5,8/13/2012,09-01-2015,career change,6,0
10172,1,2/15/2017,,N/A-StillEmployed,0,0
10127,1,3/30/2015,,N/A-StillEmployed,0,0
10072,5,01-10-2011,5/15/2014,hours,0,0
10048,5,5/16/2011,09-07-2015,unhappy,0,0
10204,5,01-10-2011,5/14/2012,Another position,0,0
10264,5,01-09-2012,6/27/2015,relocation out of area,0,1
10033,5,01-07-2013,2/21/2016,retiring,0,0
10174,1,9/29/2014,,N/A-StillEmployed,0,0
10135,1,07-07-2014,,N/A-StillEmployed,0,0
10301,5,09-02-2008,9/29/2015,Another position,5,0
10010,1,04-10-2010,,N/A-StillEmployed,0,0
10043,1,3/30/2015,,N/A-StillEmployed,0,0
10271,1,9/29/2014,,N/A-StillEmployed,0,0
